name,count,ring,quadrant,isNew,description
AWS Lambda,6,Adopt,Platforms,FALSE,"AWS Lambdaは、イベント駆動型のサーバーレスコンピューティングサービスで、専用サーバーの管理を不要にし、コードを自動的にスケールさせながら実行できるため、開発や運用の負荷を軽減します。シンプルな設定で短時間に実装可能な点が魅力であり、マイクロサービス化やバッチ処理、APIバックエンドの処理、さらには認証など、さまざまな処理ロジックをイベントに応じて実行できます。

プロジェクトでの利用状況として、Webアプリケーションのバックエンド処理、StepFunctionsとの連携でJSONataで処理しきれないロジックの実行、アプリ実行環境やバッチ処理、認証処理など多岐にわたる用途で採用されています。"
React,6,Adopt,languages-and-frameworks,FALSE,"ReactはFacebookが開発したUI構築用のJavaScriptライブラリで、コンポーネントベースの設計と仮想DOMによる高速レンダリングが特徴です。再利用性や保守性に優れており、シンプルなUIから複雑なアプリケーションまで幅広く対応できます。

プロジェクトでの利用状況
フロントエンドのUI構築、ReactNativeによるモバイルアプリ開発、管理用Webアプリやエンドユーザー向けアプリの実装など、各チームの経験と開発効率向上を目的として採用されています。"
ESLint,6,Adopt,Tools,FALSE,"ESLintはJavaScriptおよびTypeScriptのコード品質向上やバグ早期発見を目的とした静的解析ツールです。各プラグインを組み合わせることで、特定のフレームワーク向けのルール設定やコーディングスタイルの統一が可能となります。

プロジェクトでの利用状況
開発経験の浅いメンバーが多い現場では、eslint-plugin-react-hooksやtypescript-eslintといった基本ルールを採用し、厳しすぎないチェックにより不具合の早期発見と学習効果を両立。Nodeのバージョンに合わせた適切な設定が行われ、Lintツールとして広範に活用されています。"
Amazon DynamoDB,5,Adopt,Platforms,FALSE,"Amazon DynamoDBは、完全マネージド型のNoSQLデータベースサービスとして、高速なパフォーマンスとシームレスなスケールアウトを実現します。従量課金制により大量データや高トラフィックにも柔軟に対応し、低レイテンシーな処理が行えるため、リアルタイム性が求められるアプリケーションに最適です。

プロジェクトでの利用状況
Webアプリケーションのデータベースとして、Amplify Gen2で定義したGraphQL APIのスキーマから自動生成されたテーブルを利用する事例や、各種アプリで発生したデータの保存先および同期先として採用されるケースがあり、開発効率や運用負荷の軽減に寄与しています。"
Python,5,Apopt,languages-and-frameworks,FALSE,"Pythonは、シンプルな文法と豊富なライブラリにより、初心者から上級者まで幅広く支持される高水準プログラミング言語です。Web開発、データ解析、機械学習、スクリプト作成など多岐にわたる用途で利用され、開発効率の向上が期待されます。

プロジェクトでの利用状況
バックエンドの実装、AWS Lambda上での音声処理、生成AIのシステム実装、VertexAI連携のトライアルなど、多様な現場で柔軟な運用がなされ実績を積んでいます。"
依存ライブラリの更新,5,Adopt,Techniques,FALSE,"依存ライブラリの更新は、外部ライブラリの最新バージョンへの更新確認と適用を行うプロセスで、セキュリティ対策や機能改善を目的としています。

プロジェクトでの利用状況
各チームはDependabotやrenovateなどのツールを用い、Jiraに更新チケットを登録してスプリント毎や月次で定期的なチェックを実施。短い更新周期により、一度に大量の変更が生じるのを防ぎ、ビルドやテストの不具合発生を抑制しながら確実に対応しています。"
playwright,5,Adopt,languages-and-frameworks,FALSE,"Playwrightは、モダンなWebアプリケーションのE2Eテスト自動化ツールで、クロスブラウザ対応や操作の並列実行が可能な点が特徴です。シンプルなAPIにより、UIの動作確認やシナリオテストを容易に記述でき、品質管理と開発効率の向上に寄与します。

プロジェクトでの利用状況 現場では、E2Eテストの実装やGitHub Actionsでの自動実行、testing library経由での採用、e2eテスト実行、フロントエンド検証など多様な用途で活用されています。"
GitHub Actions,5,Adopt,Platforms,FALSE,"GitHub ActionsはGitHub上で自動化ワークフローを実行できる仕組みで、CI/CDパイプラインの構築やコード品質管理、定型処理など多岐にわたる自動化が実現可能です。

プロジェクトでの利用状況
Pull Request作成・更新時にビルド、Lint、テストを自動実行し、タイトルやコミットメッセージの規約チェックを実施するほか、タグ作成をトリガーにアプリのテスト配信やバックエンドのデプロイ、リリースパッケージ作成、E2Eテストなどの多様なタスクに活用されています。"
CI/CD,5,Adopt,Techniques,FALSE,"CI/CDはソフトウェア開発において、コードの変更を自動的にビルド・テスト・デプロイする仕組みを指し、開発サイクルの高速化と品質の向上を実現します。

プロジェクトでの利用状況
GitHubを活用したプロジェクトでは、GitHub Actionsが採用され、GitHub上の各種イベント（pushやPR時など）に連動して自動テストやデプロイを実施しています。CircleCIやGitLab CIといった他のSaaSも選択肢にあり、対象のプラットフォームや実行環境、セルフホステッドランナーの利用可否などの観点から、各プロジェクトは最適なCI/CDツールを採用しています。"
npm,5,Adopt,languages-and-frameworks,FALSE,"npmはJavaScriptやNode.js向けのパッケージ管理ツールで、ライブラリのインストール、更新、依存関係の管理、公開などを簡易化し、開発プロセスの効率化に寄与します。プロジェクトでの利用状況
パッケージ管理全般に用いられ、フロントエンドの依存関係管理としても採用されています。別の候補（yarnなど）も検討された事例があるものの、最終的にnpmが選択され、安定した開発環境の維持に貢献しています。"
Vue,5,Adopt,languages-and-frameworks,FALSE,"Vueはシンプルで柔軟なJavaScriptフレームワークで、宣言的レンダリングとコンポーネント指向設計により、再利用性の高いインターフェース開発を実現します。CLIツールとの連携で迅速な開発が可能となり、状態管理やルーティングの仕組みも充実。豊富なエコシステムにより、単一ページアプリケーションや複雑なUI構築に適しています。

プロジェクトでの利用状況
フロントエンドの主要フレームワークとして採用され、Webアプリの実装基盤、またエンドユーザー向けアプリの構築に活用されるなど、多岐にわたる現場で利用されています。"
Amazon S3,4,Adopt,Platforms,FALSE,"Amazon S3は、スケーラブルで高耐久なクラウドストレージサービスです。多様なデータ形式の保存、バックアップ、アーカイブに適しており、セキュリティやアクセス管理機能も充実。API経由で各種アプリケーションと容易に連携し、コスト効率に優れたストレージ環境を実現します。

プロジェクトでの利用状況
ユーザーがアップロードするメディアファイルの管理、固定マスターデータや帳票（PDF）の保管、ファイルサーバとしての運用、広範なファイル管理基盤として利用されています。"
prettier,4,Adopt,Tools,FALSE,"Prettierはコードの自動整形ツールで、設定されたルールに基づきソースコードを一貫したスタイルに整え、手動フォーマットの手間を削減します。各種言語に対応し、フォーマットに関する不一致を防止することで、コードレビューの効率化や保守性向上に寄与します。

プロジェクトでの利用状況
ESLintとの組み合わせやエディタ・CIとの連携を通じ、ソースコードのスタイル統一、コード整形の自動化に利用されています。"
Visual Studio LiveShare,4,Adopt,Tools,FALSE,"Visual Studio Live Shareは、開発者がリアルタイムにコードを共同編集し、ペアプロやモブプロを効率的に実施できるツールです。セッション中は同じ環境でのデバッグやコードレビューが可能となり、リモート環境での協働作業を促進します。

プロジェクトでの利用状況
Visual Studio Live Shareを使ってペアプロ、モブプロで開発しています。また、モバイルアプリ開発ではモバイルアプリの操作はホストとなった開発者が操作を担うようにして開発しています。バックエンド開発や議事録の共同編集にも活用されています。"
GitHub Copilot,4,Trial,Tools,FALSE,"GitHub Copilotは、AIを活用したコード補完ツールで、プログラミング中に適切なコードスニペットやテストコード、エラー修正のヒントをリアルタイムに提供します。

プロジェクトでの利用状況
コード補完やエラー発生時のヒント、テストコード自動生成により開発スピード向上を図りつつ、生成コードを適宜見直す運用を行っています。"
oVice,4,Assess,Tools,FALSE,"oViceはバーチャルオフィス環境を提供するツールで、ユーザーはアバターを通じて自由に移動し、実際のオフィスに近いコミュニケーションが可能です。

プロジェクトでの利用状況
音声・ビデオによる会議で全員が参加し、画面共有を使ったモブプロやペアプロ、スクラムイベントを実施。常時オンラインのバーチャルオフィスとして部門間の質問や連携を円滑にするなど、対面に近い体験を提供しています。"
GitHub,4,Adopt,Platforms,FALSE,"GitHubはソースコードのバージョン管理とリポジトリホスティングを提供するサービスです。Gitをベースに、プルリクエストを用いたコードレビュー、ブランチ運用、イシュー管理などで開発チームの協働を円滑にし、GitHub ActionsによるCI/CDで自動化を実現できます。

プロジェクトでの利用状況
ソースコードの一元管理、コードレビューや自動テスト、デプロイなどのパイプライン構築に活用されています。企業のセキュアな開発基盤として運用される一方、技術習得やプロトタイピング用に簡易なプロジェクトでの利用例も見受けられ、環境に応じた運用が行われています。"
pnpm,4,Adopt,Tools,FALSE,"pnpmは、Node.js向けの高速かつ効率的なパッケージマネージャーです。従来のnpmやyarnと比較して、キャッシュ機構によりディスク容量の節約と迅速な依存関係の解決を実現し、再現性の高い開発環境の構築が行えます。

プロジェクトでの利用状況
モノレポ構成のパッケージ管理、全体的なパッケージ管理、複数プロジェクトでの運用管理など、さまざまな現場で採用されています。yarnからの移行したプロジェクトもあります。"
Vite,3,Adopt,languages-and-frameworks,FALSE,"Viteは、最新のブラウザ標準とESモジュールを活用した高速なフロントエンドビルドツールです。シンプルな設定で起動でき、ホットモジュールリプレイスメントにより開発中の変更を瞬時に反映できるため、効率的な開発が実現されます。

プロジェクトでの利用状況
フロントエンドの環境作成や、動作確認（バックエンドはモック）など、現場では高速なビルドと即時フィードバックによるリードタイム短縮が評価され、開発の迅速化と安定性向上に寄与しています。"
Docker,3,Adopt,Platforms,FALSE,"Dockerは、アプリケーションとその依存関係をまとめた軽量なコンテナを作成・実行するためのプラットフォームです。環境ごとの差異を解消し、同一の動作環境を短時間で再現できるため、開発から本番運用までの一貫性を保ちます。

プロジェクトでの利用状況
開発用DBのコンテナ化やシステムの分離、CI/CDパイプラインへの組み込み、マイクロサービスアーキテクチャにおける各サービスの環境提供など、柔軟で効率的な開発および運用、迅速なデプロイを支える実例が多数存在します。"
GitLab,3,Adopt,Platforms,FALSE,"GitLabはGitを基盤とした統合型DevOpsプラットフォームで、ソフトウェア開発の一連の工程を一元化できるツールです。コードのバージョン管理はもちろん、コードレビュー、課題管理、マージリクエストなどを通じてチーム内での協働作業を円滑に進めます。また、CI/CD機能による自動テストやデプロイのパイプライン構築が可能なため、リリースサイクルの短縮や品質の向上に寄与します。

プロジェクトでの利用状況
セルフホスト環境で運用されるケースや、ソースコードの管理、レビュー、イシューやタスクの一元管理、カンバン方式の運用や継続的インテグレーション機能を活用し、効率的な開発フロー実現のために採用されています。"
Zoom,3,Adopt,Tools,FALSE,"Zoomはオンライン会議・ウェビナー専用ツールで、ビデオ通話、画面共有、チャットなど多彩な機能により、遠隔地間で円滑なコミュニケーションを実現します。会議中はリアルタイムな意見交換が可能なため、打ち合わせやワークショップ、定例ミーティングでの活用が進んでいます。

プロジェクトでの利用状況
オンラインでの全業務に利用され、メンバー間の迅速な連絡や情報共有、議論の活性化に寄与しています。特に、従来のチャットツールが整う前は、Zoom TeamChatが暫定的な連絡手段として採用され、開発および運用の現場において重要な役割を果たしていました。"
AWS CloudWatch,3,Adopt,Platforms,FALSE,"AWS CloudWatchは、AWS環境およびオンプレミスのリソースを対象に、ログ・メトリクス・イベントの収集・可視化を実現する完全マネージドの監視・運用ツールです。システムのパフォーマンスや稼働状況の把握、問題検知やトラブルシュートを支援し、アラート設定や自動スケーリング連動による運用効率の向上にも寄与します。

プロジェクトでの利用状況
ログ収集基盤として利用されたり、ログ管理が行われたり、またAWS AppSyncやAWS Lambdaのログ収集にも活用され、実環境での運用改善に大きく貢献しています。"
Google Meet,3,Adopt,Tools,FALSE,"Google Meetは、ビデオ会議やオンラインミーティングを実現するクラウドベースのツールです。シンプルなUIと高いセキュリティ機能が特徴で、ブラウザや専用アプリを通じて手軽に会議に参加でき、リアルタイムの対話が可能です。

プロジェクトでの利用状況：業務会議、顧客打ち合わせ、オンライン研修、グループディスカッションなど、常時接続を必要とするシーンで活用され、遠隔地間でも円滑なコミュニケーションをサポートします。"
Nuxt,2,Adopt,languages-and-frameworks,FALSE,"NuxtはVue.jsをベースにしたフレームワークで、サーバーサイドレンダリングや静的サイト生成に対応し、シンプルな設定のもと高速でSEO効果の高いアプリケーションの開発を促進します。コード分割やプリフェッチ機能など、開発効率を高める仕組みが充実しており、柔軟な構成が魅力です。

プロジェクトでの利用状況
エンドユーザー向けアプリのフロントエンドの開発で活用されています。"
yarn,3,Apopt,Tools,FALSE,"yarnは、JavaScriptプロジェクトの依存管理とパッケージ導入を高速かつ効率的に行うツールです。yarnのキャッシュ機能と並列処理により、パッケージのインストールや更新が迅速に実施でき、ビルド・デプロイ作業の自動化にも寄与します。

プロジェクトでの利用状況としては、フロントエンド開発や依存パッケージの管理、ビルドツールとの統合を通じて、開発環境の安定性と作業効率の向上が図られています。"
git,3,Adopt,Tools,FALSE,"gitは分散型バージョン管理システムとして、ソースコードの変更履歴を管理し、分散開発や協働作業を効率化するために用いられます。ブランチ作成やマージの柔軟な運用により、個々の開発者が独立して作業しつつ、統合時に問題が生じにくい環境を実現します。

プロジェクトでの利用状況
ソースコードのバージョン管理、コード管理、ソース管理に活用され、各チームの迅速なフィードバックや安全なリリースプロセスを支えています。"
AWS Amplify,2,Adopt,Platforms,FALSE,"AWS Amplifyは、ウェブやモバイルアプリケーションの構築・運用を迅速に行うためのクラウドプラットフォームで、バックエンド機能の自動生成や認証、データ管理、ストレージ、API連携などがシームレスに実装できます。CLIや各種ライブラリを利用し、開発からビルド、デプロイまで一貫したワークフローが実現可能です。

プロジェクトでの利用状況
Webアプリケーションの構築、ホスティング、ビルド＆デプロイ、およびモバイルアプリのバックエンド作成に応用されています。"
AWS AppSync,2,Adopt,Platforms,FALSE,"AWS AppSyncはGraphQLを利用したAPI管理サービスで、リアルタイム通信やオフライン対応をはじめとする柔軟かつ拡張性の高いAPI構築を実現します。

プロジェクトでの利用状況
WebアプリケーションのAPI構築に採用され、Amplify Gen2で定義したGraphQLスキーマから自動生成されるAPIを利用してスピーディな開発を可能にしています。また別のプロジェクトではモバイルアプリで発生するデータの送受信やバックエンドとの連携において、リアルタイムな通信とデータ配信機能を支えるWeb APIとして活用されています。"
AWS Step Functions,2,Adopt,Platforms,FALSE,"AWS Step Functionsはサーバーレスなワークフロー調整サービスで、複数のAWSサービスや分散システムのタスクを統合的に管理・自動化するために利用されます。状態遷移モデルを用いて各タスクの実行順序、エラーハンドリング、並列処理などを柔軟に設計でき、システム全体の信頼性向上と運用効率化に寄与します。

プロジェクトでの利用状況
時間のかかる処理の自動化やバッチ処理基盤の構築など、複雑な業務フローの管理に活用されています。"
Figjam,2,Adopt,Tools,FALSE,"FigjamはFigmaが提供するオンラインホワイトボードツールで、デザイン作業との連携を活かしつつ、アイデア出しや議論をリアルタイムに展開できるため、チームの協働作業を活性化させる用途で使われます。
プロジェクトでの利用状況
ふりかりやスプリントイベント、ワークショップなどの場面でホワイトボードとして用いられ、ミーティング中の視覚的な情報共有と迅速なフィードバックを実現しています。"
Amazon EventBridge,3,Adopt,Platforms,FALSE,"Amazon EventBridgeはサーバーレスなイベントバスサービスで、AWSサービスやSaaSとの連携を容易にし、各種イベントの収集、ルーティング、変換を実現します。イベントをトリガーにワークフローを自動化し、システム全体の疎結合な設計を促進します。

プロジェクトでの利用状況
Amazon EventBridgeは、S3からのイベントでStep Functionsを実行したり、AppSyncとの連携を通じてリアルタイムな処理を行うほか、Step Functionsからプライベート環境のHTTPエンドポイントを呼び出す際や定期実行バッチのトリガーとして利用され、柔軟で効率的なシステム連携を支えています。"
Next.js,2,Adopt,languages-and-frameworks,FALSE,"Next.jsはReactを基盤としたフレームワークで、サーバーサイドレンダリングや静的生成を容易に実現し、高速なパフォーマンスとSEO最適化を両立するWebアプリケーションの開発を可能にします。最新機能を組み込むことで、レスポンシブなUI設計や効率的なルーティングが実現でき、開発効率の向上に寄与します。

プロジェクトでの利用状況では、Next.jsを用い、Pages Routerやstandaloneモードでのビルド、App Runnerを活用した実行方法や、フロントエンドの実装での採用など、各フェーズでの最適な運用が確認されています。"
Storybook,2,Adopt,languages-and-frameworks,TRUE,"StorybookはUIコンポーネントの開発、テスト、ドキュメント管理を一元化するツールで、開発者間の共有とフィードバックが容易になる仕組みを提供します。

プロジェクトでの利用状況
Nextコンポーネントのプレビュー、ドキュメント化、テストに活用される他、クライアント画面の開発補助として、迅速なブラウジングと品質向上に寄与しています。"
Docker Compose,2,Adopt,Tools,FALSE,Docker Composeは、複数のDockerコンテナからなるアプリケーションの構築、管理、実行を容易にするツールです。サービス毎に定義した設定を一括管理できるため、環境構築の自動化と一元管理を実現します。プロジェクトでの利用状況：開発環境でのコンテナ通信設定、複雑な依存関係の構築、統合テストやデプロイメントの自動化に活用され、実際の現場では横浜銀行やNTTPCによるコンテナ利用の際に、このツールが効率的な運用の鍵として採用されています。
Renovate,3,Trial,Platforms,FALSE,Renovateは依存関係更新を自動化するツールで、ライブラリやパッケージ管理の手間を大幅に軽減し、セキュリティ対策やバージョンアップを効率的に支援します。自動的に生成されるプルリクエストにより、最新の依存関係の適用や脆弱性への迅速な対応が可能となります。プロジェクトでの利用状況 バージョン管理の統一、定期的な依存関係チェック、セキュリティパッチの自動更新、CI/CDパイプラインとの連携など、実際の現場で活発に活用されています。
Tailwind CSS,2,Adopt,languages-and-frameworks,TRUE,"Tailwind CSSはユーティリティファーストのCSSフレームワークで、直感的なクラス管理により迅速なUI構築と一貫性のあるデザイン実現をサポートします。HTMLに直接多数のスタイルクラスを書き込むことで、プロトタイピングから本格的なWebアプリ開発まで柔軟に対応し、カスタマイズ性とレスポンシブ設計が容易になります。

プロジェクトでの利用状況
多様なWebサイトや管理ツール、モバイルファーストなアプリケーションで用いられ、効率的なCSS実装とスピーディな改修サイクルの実現に貢献しています。"
Formik,2,Adopt,languages-and-frameworks,TRUE,"FormikはReact向けのフォーム管理ライブラリで、フォームの状態管理、バリデーション、エラーメッセージの表示、送信処理などをシンプルかつ効率的に実装できます。フォームロジックとUIの連携をスムーズに行えるため、開発効率や保守性が向上し、複雑な入力処理にも柔軟に対応可能です。
プロジェクトでの利用状況 入力フォームの構築や検証、ユーザー入力データの管理を中心としたフロントエンド実装で採用され、堅牢なフォーム体験を提供するために活用されています。"
GitLab Runner,2,Adopt,Platforms,FALSE,GitLab RunnerはGitLabのCI/CDパイプラインでジョブを実行するためのツールです。コミットされたコードの自動テスト、ビルド、デプロイなどを迅速に処理し、開発フローを効率化することが可能です。プロジェクトでの利用状況 GitLab RunnerはSelf Hostedやクラウド環境で運用され、各ジョブの自動実行やオートメーションの管理、デプロイ環境との連携によって、継続的インテグレーションとデリバリーを現場で実現しています。
Mattermost,2,Adopt,Tools,FALSE,"Mattermostはオープンソースを基盤としたチームコミュニケーションツールで、セキュアなチャット環境やファイル共有、各種業務ツールとの連携を容易に実現します。利用者は開発チーム内の情報交換や議論、緊急時の連絡網として活用するほか、システムと統合してワークフローの自動化や運用効率の向上を図っています。プロジェクトでの利用状況
チームのチャットやディスカッションツールとして、コミュニケーションの効率化と即時の情報共有に貢献しています。"
yup,2,Adopt,languages-and-frameworks,TRUE,"yupはJavaScript向けのバリデーションライブラリで、スキーマ定義に基づく入力値の検証や変換を直感的なAPIでサポートします。オブジェクトや配列など複雑なデータ構造の検証にも対応し、エラーメッセージのカスタマイズも容易です。

プロジェクトでの利用状況
実際の現場では、入力データの正確な検証を目的として採用され、フロントエンドのユーザー入力チェックなど、バリデーション工程の効率化に寄与しています。"
AWS CloudFormation,2,Adopt,Platforms,FALSE,AWS CloudFormationは、AWS上のインフラストラクチャをコードとして定義し、自動でリソースの生成や更新を実行するインフラ自動化ツールです。各種AWSサービスをテンプレートにより宣言的に管理できるため、環境構築や変更の再現性・信頼性が向上します。プロジェクトでの利用状況　現場では、CDKからデプロイする際にCloudFormationテンプレートを用い、インフラのコード管理と安定した環境展開、迅速な変更反映を実現。
Amazon SES,2,Adopt,Platforms,FALSE,"Amazon SESはAWSが提供するスケーラブルなメール送信サービスで、大量のメール送信、受信、バウンス管理、フィードバックループ対応などが可能なため、マーケティング活動やシステム通知、取引メールの配信に活用されます。高可用性とセキュリティを備え、既存のAWS環境と統合しやすいのが魅力です。

プロジェクトでの利用状況
メール送信基盤としてシステムの連絡や一般的なメール送信に利用されています。"
Scrum,2,Adopt,Techniques,FALSE,"Scrumはアジャイル開発手法の一つで、定められた短期間のスプリント内で計画、実行、振り返りを繰り返し、継続的改善と透明性を高めるフレームワークです。役割分担や自己組織的なチーム運営により迅速なフィードバックを実現し、リスク管理と適応力を向上させます。

プロジェクトでの利用状況
1週間スプリントや司会当番制、Tシャツサイズ見積もりを活用し、全員が内製化支援チームとして協働するハイブリッド形式や、SM専任を設けず柔軟なアジャイル開発が実践される事例があります。"
モックサーバ,2,Apopt,Techniques,FALSE,"モックサーバは、実際のAPIや外部サービスの代替として機能し、開発環境やテスト段階で必要なレスポンスを模擬する仕組みです。プロジェクトでの利用状況
MockoonやSoapUIを利用して、APIの挙動を再現しながら動作確認を行ったり、AWS上の開発環境でAPIサーバの連携先としてLambdaを活用し、実サービスに近い状態を再現することで開発・テスト効率の向上に寄与しています。"
git-flow,2,Adopt,Tools,FALSE,"git-flowは、Gitを用いたバージョン管理におけるブランチ戦略の一手法で、開発・リリース・メンテナンスといった各フェーズの作業を明確なブランチ（feature、develop、release、hotfixなど）で管理し、開発プロセスのルールを体系化するものです。

プロジェクトでの利用状況
あるプロジェクトではgit CLIのアドオンとしてブランチ戦略の一環として利用され、別のプロジェクトでは各ブランチの運用ルールに基づいた管理手法として採用され、効率的かつ統制の取れた開発フローが実現されています。"
モブプロ,2,Adopt,Techniques,TRUE,"モブプロは、1台のPCや画面をチーム全体で共有し、全員が同時にコードを書いたりレビューを行ったりする開発手法です。コミュニケーションの密度が高まり、知見の共有や問題点の早期発見に寄与します。

プロジェクトでの利用状況
コードレビュー、実装の共同作業や設計検討をはじめ、リファクタリングや問題解決に向けた議論の際に活用されています。実際の現場では必要なときにデイリーミーティングなどで声をかけあってリモートで実施、チーム全体で共通認識を深めるために定期的に導入され、全員の参加による成果向上を実現しています。"
terraform,2,Adopt,languages-and-frameworks,FALSE,"Terraformはインフラストラクチャをコードで管理するツールで、設定ファイルにネットワーク、サーバ、ストレージなどの構成情報を記述することで自動化と再現性の高いインフラ展開を実現します。

プロジェクトでの利用状況
クラウドリソース全体のプロビジョニングや構成管理、変更管理、環境の再現性確保など、IaC（Infrastructure as Code）として各種環境の構築と運用に活用されています。"
GitHub Enterprise,2,Adopt,Platforms,FALSE,"GitHub Enterpriseは、企業向けに提供されるGitHubのプライベートなバージョンで、ソースコードのバージョン管理、コードレビュー、CI/CDパイプラインの統合など、開発プロセス全体をサポートする機能が充実しています。セキュリティ対策やアクセス制御が強化され、企業内での情報共有やコラボレーションが円滑に行えます。

プロジェクトでの利用状況 としては、Github APIでの動作確認やソースコード管理など、効率的な開発運用の実現に寄与しています。"
GraphQL,2,Adopt,languages-and-frameworks,FALSE,"GraphQLはAPIのクエリ言語およびランタイムで、クライアントが必要なデータだけを効率よく要求・取得するために設計されています。複数のデータソースからの情報を一括して扱えるため、フロントエンドとバックエンド間の通信を最適化し、必要な情報の過不足を防ぐメリットがあります。

プロジェクトでの利用状況
Githubの設定情報取得など、柔軟で正確なデータアクセスが求められる場面で重宝され、システム連携やアプリケーションの高速レスポンス実現に貢献しています。"
